Designator,Mid X,Mid Y,Rotation,Layer
D1,41.85,-60.95,270.0,top
D2,61.65,-73.5,270.0,top
D3,41.85,-72.95,270.0,top
D4,58.6,-73.5,270.0,top
D5,41.85,-80.85,270.0,top
D6,58.65,-80.85,270.0,top
D7,41.85,-92.85,270.0,top
D8,61.65,-80.85,270.0,top
FPC1,37.91,-76.9,270.0,top
SW1,48.23,-67.1,90.0,top
SW2,48.2,-86.55,90.0,top
